阿爸 a1/ba4
巴望 ba1/wang4
巴西 ba1/xi1
巴掌 ba1/zhang3
扒开 ba1/kai1
扒手 ba1/shou3
芭蕾 ba1/lei3
疤痕 ba1/hen2
笆篱 ba1/li2
拔除 ba2/chu2
拔掉 ba2/diao4
拔高 ba2/gao1
拔尖 ba2/jian1
跋涉 ba2/she4
把柄 ba3/bing3
把持 ba3/chi2
把关 ba3/guan1
把手 ba3/shou3
把守 ba3/shou3
把头 ba3/tou2
把握 ba3/wo4
把戏 ba3/xi4
把子 ba3/zi
靶场 ba3/chang3
爸爸 ba4/ba4
罢工 ba4/gong1
罢官 ba4/guan1
罢课 ba4/ke4
罢了 ba4/le
罢免 ba4/mian3
罢市 ba4/shi4
罢休 ba4/xiu1
霸道 ba4/dao4
霸权 ba4/quan2
霸王 ba4/wang2
霸占 ba4/zhan4
霸主 ba4/zhu3
白布 bai2/bu4
白菜 bai2/cai4
白城 bai2/cheng2
白痴 bai2/chi1
白搭 bai2/da1
白发 bai2/fa1
白费 bai2/fei4
白宫 bai2/gong1
白话 bai2/hua4
白桦 bai2/hua4
白金 bai2/jin1
白酒 bai2/jiu3
白米 bai2/mi3
白面 bai2/mian4
白人 bai2/ren2
白色 bai2/se4
白薯 bai2/shu3
白糖 bai2/tang2
白天 bai2/tian1
白条 bai2/tiao2
白雪 bai2/xue3
白杨 bai2/yang2
白蚁 bai2/yi3
白银 bai2/yin2
白云 bai2/yun2
白纸 bai2/zhi3
白昼 bai2/zhou4
白族 bai2/zu2
百般 bai3/ban1
百倍 bai3/bei4
百部 bai3/bu4
百分 bai3/fen1
百货 bai3/huo4
百计 bai3/ji4
百家 bai3/jia1
百科 bai3/ke1
百里 bai3/li3
百年 bai3/nian2
百日 bai3/ri4
百万 bai3/wan4
百姓 bai3/xing4
百余 bai3/yu2
柏林 bai3/lin2
柏木 bai3/mu4
柏树 bai3/shu4
柏油 bai3/you2
摆布 bai3/bu4
摆动 bai3/dong4
摆渡 bai3/du4
摆放 bai3/fang4
摆满 bai3/man3
摆弄 bai3/nong4
摆设 bai3/she4
摆脱 bai3/tuo1
摆正 bai3/zheng4
败北 bai4/bei3
败给 bai4/gei3
败坏 bai4/huai4
败绩 bai4/ji1
败将 bai4/jiang1
败局 bai4/ju2
败类 bai4/lei4
败露 bai4/lu4
败落 bai4/luo4
败诉 bai4/su4
败兴 bai4/xing4
败由 bai4/you2
败仗 bai4/zhang4
败阵 bai4/zhen4
拜访 bai4/fang3
拜会 bai4/hui4
拜见 bai4/jian4
拜年 bai4/nian2
拜师 bai4/shi1
拜托 bai4/tuo1
班长 ban1/zhang3
班车 ban1/che1
班次 ban1/ci4
班房 ban1/fang2
班机 ban1/ji1
班级 ban1/ji2
班轮 ban1/lun2
班子 ban1/zi
班组 ban1/zu3
般配 ban1/pei4
颁布 ban1/bu4
颁发 ban1/fa1
颁奖 ban1/jiang3
斑白 ban1/bai2
斑点 ban1/dian3
斑鸠 ban1/jiu1
斑斓 ban1/lan2
斑岩 ban1/yan2
搬掉 ban1/diao4
搬动 ban1/dong4
搬家 ban1/jia1
搬弄 ban1/nong4
搬运 ban1/yun4
搬走 ban1/zou3
板报 ban3/bao4
板材 ban3/cai2
板车 ban3/che1
板凳 ban3/deng4
板结 ban3/jie2
板式 ban3/shi4
板书 ban3/shu1
板子 ban3/zi
版本 ban3/ben3
版画 ban3/hua4
版面 ban3/mian4
版权 ban3/quan2
版税 ban3/shui4
版图 ban3/tu2
办案 ban4/an4
办班 ban4/ban1
办报 ban4/bao4
办厂 ban4/chang3
办成 ban4/cheng2
办到 ban4/dao4
办法 ban4/fa3
办公 ban4/gong1
办好 ban4/hao3
办理 ban4/li3
办事 ban4/shi4
办妥 ban4/tuo3
办学 ban4/xue2
半百 ban4/bai3
半边 ban4/bian1
半岛 ban4/dao3
半点 ban4/dian3
半个 ban4/ge4
半价 ban4/jia4
半截 ban4/jie2
半径 ban4/jing4
半空 ban4/kong1
半路 ban4/lu4
半年 ban4/nian2
半球 ban4/qiu2
半日 ban4/ri4
半晌 ban4/shang3
半数 ban4/shu4
半天 ban4/tian1
半夜 ban4/ye4
半音 ban4/yin1
半圆 ban4/yuan2
半月 ban4/yue4
伴侣 ban4/lv3
伴随 ban4/sui2
伴奏 ban4/zou4
扮演 ban4/yan3
拌种 ban4/zhong3
邦交 bang1/jiao1
邦联 bang1/lian2
帮工 bang1/gong1
帮会 bang1/hui4
帮忙 bang1/mang2
帮派 bang1/pai4
帮腔 bang1/qiang1
帮手 bang1/shou3
帮凶 bang1/xiong1
帮助 bang1/zhu4
绑带 bang3/dai4
绑架 bang3/jia4
绑腿 bang3/tui3
榜首 bang3/shou3
榜样 bang3/yang4
膀胱 bang3/guang1
膀子 bang3/zi
蚌埠 bang4/bu4
傍晚 bang4/wan3
棒料 bang4/liao4
棒球 bang4/qiu2
棒子 bang4/zi
磅礴 bang4/bo2
磅秤 bang4/cheng4
包办 bao1/ban4
包庇 bao1/bi4
包藏 bao1/cang2
包产 bao1/chan3
包车 bao1/che1
包袱 bao1/fu2
包干 bao1/gan4
包工 bao1/gong1
包裹 bao1/guo3
包含 bao1/han2
包涵 bao1/han2
包括 bao1/kuo4
包揽 bao1/lan3
包赔 bao1/pei2
包容 bao1/rong2
包身 bao1/shen1
包头 bao1/tou2
包退 bao1/tui4
包围 bao1/wei2
包销 bao1/xiao1
包修 bao1/xiu1
包扎 bao1/zha1
包装 bao1/zhuang1
包子 bao1/zi
包租 bao1/zu1
孢子 bao1/zi
胞波 bao1/bo1
胞弟 bao1/di4
胞妹 bao1/mei4
胞兄 bao1/xiong1
褒庇 bao1/bi4
褒贬 bao1/bian3
褒奖 bao1/jiang3
褒赏 bao1/shang3
褒扬 bao1/yang2
褒义 bao1/yi4
雹灾 bao2/zai1
宝宝 bao3/bao3
宝贝 bao3/bei4
宝藏 bao3/cang2
宝岛 bao3/dao3
宝地 bao3/de
宝钢 bao3/gang1
宝贵 bao3/gui4
宝剑 bao3/jian4
宝库 bao3/ku4
宝石 bao3/shi2
宝塔 bao3/ta3
宝玉 bao3/yu4
宝珠 bao3/zhu1
宝座 bao3/zuo4
饱尝 bao3/chang2
饱含 bao3/han2
饱和 bao3/he2
饱满 bao3/man3
保安 bao3/an1
保本 bao3/ben3
保镖 bao3/biao1
保持 bao3/chi2
保存 bao3/cun2
保定 bao3/ding4
保管 bao3/guan3
保护 bao3/hu4
保价 bao3/jia4
保健 bao3/jian4
保金 bao3/jin1
保留 bao3/liu2
保密 bao3/mi4
保姆 bao3/mu3
保暖 bao3/nuan3
保全 bao3/quan2
保守 bao3/shou3
保卫 bao3/wei4
保温 bao3/wen1
保鲜 bao3/xian1
保险 bao3/xian3
保修 bao3/xiu1
保养 bao3/yang3
保佑 bao3/you4
保育 bao3/yu4
保障 bao3/zhang4
保证 bao3/zheng4
保值 bao3/zhi2
保质 bao3/zhi4
保重 bao3/zhong4
保住 bao3/zhu4
堡垒 bao3/lei3
报案 bao4/an4
报表 bao4/biao3
报仇 bao4/chou2
报酬 bao4/chou2
报答 bao4/da2
报导 bao4/dao3
报到 bao4/dao4
报道 bao4/dao4
报恩 bao4/en1
报废 bao4/fei4
报复 bao4/fu4
报告 bao4/gao4
报关 bao4/guan1
报馆 bao4/guan3
报国 bao4/guo2
报价 bao4/jia4
报捷 bao4/jie2
报界 bao4/jie4
报警 bao4/jing3
报刊 bao4/kan1
报考 bao4/kao3
报名 bao4/ming2
报幕 bao4/mu4
报批 bao4/pi1
报请 bao4/qing3
报社 bao4/she4
报审 bao4/shen3
报失 bao4/shi1
报时 bao4/shi2
报送 bao4/song4
报童 bao4/tong2
报头 bao4/tou2
报务 bao4/wu4
报喜 bao4/xi3
报销 bao4/xiao1
报效 bao4/xiao4
报信 bao4/xin4
报业 bao4/ye4
报以 bao4/yi3
报应 bao4/ying1
报章 bao4/zhang1
报帐 bao4/zhang4
报纸 bao4/zhi3
抱病 bao4/bing4
抱负 bao4/fu4
抱起 bao4/qi3
抱歉 bao4/qian4
抱怨 bao4/yuan4
抱住 bao4/zhu4
抱着 bao4/zhe
豹子 bao4/zi
暴跌 bao4/die1
暴动 bao4/dong4
暴发 bao4/fa1
暴风 bao4/feng1
暴君 bao4/jun1
暴力 bao4/li4
暴利 bao4/li4
暴露 bao4/lu4
暴乱 bao4/luan4
暴徒 bao4/tu2
暴行 bao4/xing2
暴雨 bao4/yu3
暴躁 bao4/zao4
暴涨 bao4/zhang3
爆发 bao4/fa1
爆裂 bao4/lie4
爆满 bao4/man3
爆破 bao4/po4
爆炸 bao4/zha4
爆竹 bao4/zhu2
卑鄙 bei1/bi3
卑贱 bei1/jian4
卑劣 bei1/lie4
卑微 bei1/wei1
卑下 bei1/xia4
杯子 bei1/zi
悲哀 bei1/ai1
悲惨 bei1/can3
悲愤 bei1/fen4
悲观 bei1/guan1
悲欢 bei1/huan1
悲剧 bei1/ju4
悲伤 bei1/shang1
悲痛 bei1/tong4
悲壮 bei1/zhuang4
碑刻 bei1/ke4
碑文 bei1/wen2
北边 bei3/bian1
北部 bei3/bu4
北大 bei3/da4
北斗 bei3/dou4
北方 bei3/fang1
北非 bei3/fei1
北风 bei3/feng1
北国 bei3/guo2
北海 bei3/hai3
北极 bei3/ji2
北疆 bei3/jiang1
北京 bei3/jing1
北麓 bei3/lu4
北美 bei3/mei3
北面 bei3/mian4
北南 bei3/nan2
北能 bei3/neng2
北欧 bei3/ou1
北宋 bei3/song4
北纬 bei3/wei3
北魏 bei3/wei4
北洋 bei3/yang2
北约 bei3/yue1
贝壳 bei4/ke2
贝类 bei4/lei4
备案 bei4/an4
备查 bei4/cha2
备份 bei4/fen4
备耕 bei4/geng1
备好 bei4/hao3
备荒 bei4/huang1
备件 bei4/jian4
备考 bei4/kao3
备课 bei4/ke4
备料 bei4/liao4
备齐 bei4/qi2
备用 bei4/yong4
备有 bei4/you3
备战 bei4/zhan4
备注 bei4/zhu4
背包 bei4/bao1
背部 bei4/bu4
背地 bei4/de
背负 bei4/fu4
背后 bei4/hou4
背景 bei4/jing3
背离 bei4/li2
背面 bei4/mian4
背叛 bei4/pan4
背弃 bei4/qi4
背书 bei4/shu1
背诵 bei4/song4
背心 bei4/xin1
背阴 bei4/yin1
背影 bei4/ying3
背着 bei4/zhe
倍感 bei4/gan3
倍加 bei4/jia1
倍率 bei4/lv4
倍受 bei4/shou4
倍数 bei4/shu4
倍增 bei4/zeng1
悖逆 bei4/ni4
被捕 bei4/bu3
被单 bei4/dan1
被盗 bei4/dao4
被动 bei4/dong4
被俘 bei4/fu2
被告 bei4/gao4
被害 bei4/hai4
被劫 bei4/jie2
被控 bei4/kong4
被扣 bei4/kou4
被迫 bei4/po4
被褥 bei4/ru4
被杀 bei4/sha1
被套 bei4/tao4
被偷 bei4/tou1
被窝 bei4/wo1
被子 bei4/zi
蓓蕾 bei4/lei3
奔波 ben1/bo1
奔驰 ben1/chi2
奔放 ben1/fang4
奔赴 ben1/fu4
奔流 ben1/liu2
奔忙 ben1/mang2
奔命 ben1/ming4
奔跑 ben1/pao3
奔丧 ben1/sang4
奔腾 ben1/teng2
奔头 ben1/tou2
奔向 ben1/xiang4
奔走 ben1/zou3
本报 ben3/bao4
本部 ben3/bu4
本厂 ben3/chang3
本次 ben3/ci4
本地 ben3/de
本分 ben3/fen1
本该 ben3/gai1
本国 ben3/guo2
本级 ben3/ji2
本季 ben3/ji4
本家 ben3/jia1
本届 ben3/jie4
本金 ben3/jin1
本刊 ben3/kan1
本科 ben3/ke1
本来 ben3/lai2
本利 ben3/li4
本领 ben3/ling3
本末 ben3/mo4
本能 ben3/neng2
本年 ben3/nian2
本钱 ben3/qian2
本区 ben3/qu1
本人 ben3/ren2
本色 ben3/se4
本身 ben3/shen1
本省 ben3/sheng3
本市 ben3/shi4
本事 ben3/shi4
本题 ben3/ti2
本体 ben3/ti3
本土 ben3/tu3
本位 ben3/wei4
本文 ben3/wen2
本息 ben3/xi1
本县 ben3/xian4
本乡 ben3/xiang1
本校 ben3/xiao4
本行 ben3/xing2
本性 ben3/xing4
本义 ben3/yi4
本意 ben3/yi4
本应 ben3/ying1
本院 ben3/yuan4
本月 ben3/yue4
本职 ben3/zhi2
本质 ben3/zhi4
本周 ben3/zhou1
本着 ben3/zhe
本子 ben3/zi
苯胺 ben3/an4
苯酚 ben3/fen1
苯环 ben3/huan2
笨蛋 ben4/dan4
笨重 ben4/zhong4
笨拙 ben4/zhuo1
崩溃 beng1/kui4
崩裂 beng1/lie4
崩龙 beng1/long2
崩塌 beng1/ta1
绷带 beng1/dai4
绷脸 beng1/lian3
迸发 beng4/fa1
迸裂 beng4/lie4
逼供 bi1/gong1
逼近 bi1/jin4
逼迫 bi1/po4
逼债 bi1/zhai4
逼真 bi1/zhen1
鼻孔 bi2/kong3
鼻涕 bi2/ti4
鼻子 bi2/zi
鼻祖 bi2/zu3
匕首 bi3/shou3
比反 bi3/fan3
比方 bi3/fang1
比分 bi3/fen1
比划 bi3/hua4
比价 bi3/jia4
比较 bi3/jiao4
比来 bi3/lai2
比例 bi3/li4
比率 bi3/lv4
比拟 bi3/ni3
比热 bi3/re4
比如 bi3/ru2
比赛 bi3/sai4
比试 bi3/shi4
比武 bi3/wu3
比喻 bi3/yu4
比照 bi3/zhao4
比值 bi3/zhi2
比重 bi3/zhong4
比诸 bi3/zhu1
比着 bi3/zhe
彼岸 bi3/an4
彼此 bi3/ci3
笔答 bi3/da2
笔调 bi3/diao4
笔端 bi3/duan1
笔法 bi3/fa3
笔杆 bi3/gan1
笔画 bi3/hua4
笔迹 bi3/ji1
笔记 bi3/ji4
笔录 bi3/lu4
笔名 bi3/ming2
笔墨 bi3/mo4
笔试 bi3/shi4
笔挺 bi3/ting3
笔误 bi3/wu4
笔下 bi3/xia4
笔形 bi3/xing2
笔译 bi3/yi4
笔者 bi3/zhe3
笔直 bi3/zhi2
鄙薄 bi3/bao2
鄙视 bi3/shi4
鄙夷 bi3/yi2
必败 bi4/bai4
必备 bi4/bei4
必得 bi4/de2
必定 bi4/ding4
必将 bi4/jiang1
必然 bi4/ran2
必胜 bi4/sheng4
必修 bi4/xiu1
必须 bi4/xu1
必需 bi4/xu1
必要 bi4/yao4
必有 bi4/you3
毕节 bi4/jie2
毕竟 bi4/jing4
毕生 bi4/sheng1
毕业 bi4/ye4
闭关 bi4/guan1
闭合 bi4/he2
闭会 bi4/hui4
闭幕 bi4/mu4
闭塞 bi4/sai1
闭市 bi4/shi4
庇护 bi4/hu4
陛下 bi4/xia4
毙命 bi4/ming4
裨益 bi4/yi4
辟谣 pi4/yao2
弊病 bi4/bing4
弊端 bi4/duan1
碧波 bi4/bo1
碧空 bi4/kong1
碧蓝 bi4/lan2
碧绿 bi4/lv4
碧血 bi4/xue4
碧玉 bi4/yu4
壁虎 bi4/hu3
壁画 bi4/hua4
壁垒 bi4/lei3
避风 bi4/feng1
避讳 bi4/hui4
避开 bi4/kai1
避免 bi4/mian3
避难 bi4/nan2
避暑 bi4/shu3
避嫌 bi4/xian2
避孕 bi4/yun4
臂膀 bi4/bang3
臂膊 bi4/bo2
边陲 bian1/chui2
边防 bian1/fang2
边关 bian1/guan1
边际 bian1/ji4
边疆 bian1/jiang1
边界 bian1/jie4
边境 bian1/jing4
边区 bian1/qu1
边线 bian1/xian4
边沿 bian1/yan2
边缘 bian1/yuan2
边远 bian1/yuan3
编成 bian1/cheng2
编程 bian1/cheng2
编篡 bian1/cuan4
编导 bian1/dao3
编订 bian1/ding4
编定 bian1/ding4
编队 bian1/dui4
编号 bian1/hao4
编辑 bian1/ji2
编剧 bian1/ju4
编码 bian1/ma3
编排 bian1/pai2
编入 bian1/ru4
编审 bian1/shen3
编外 bian1/wai4
编委 bian1/wei3
编写 bian1/xie3
编译 bian1/yi4
编印 bian1/yin4
编余 bian1/yu2
编造 bian1/zao4
编者 bian1/zhe3
编织 bian1/zhi1
编制 bian1/zhi4
编著 bian1/zhe
编撰 bian1/zhuan4
编组 bian1/zu3
编纂 bian1/zuan3
蝙蝠 bian1/fu2
鞭策 bian1/ce4
鞭笞 bian1/chi1
鞭打 bian1/da3
鞭炮 bian1/pao4
鞭挞 bian1/ta4
鞭子 bian1/zi
贬低 bian3/di1
贬价 bian3/jia4
贬义 bian3/yi4
贬值 bian3/zhi2
贬职 bian3/zhi2
扁担 bian3/dan1
扁平 bian3/ping2
匾额 bian3/e2
拚搏 pan4/bo2
拚命 pan4/ming4
便当 bian4/dang1
便道 bian4/dao4
便服 bian4/fu2
便函 bian4/han2
便会 bian4/hui4
便笺 bian4/jian1
便利 bian4/li4
便民 bian4/min2
便能 bian4/neng2
便是 bian4/shi4
便条 bian4/tiao2
便携 bian4/xie2
便衣 bian4/yi1
便宜 bian4/yi2
便于 bian4/yu2
变产 bian4/chan3
变成 bian4/cheng2
变得 bian4/de2
变动 bian4/dong4
变法 bian4/fa3
变革 bian4/ge2
变更 bian4/geng4
变故 bian4/gu4
变卦 bian4/gua4
变好 bian4/hao3
变黑 bian4/hei1
变化 bian4/hua4
变坏 bian4/huai4
变幻 bian4/huan4
变换 bian4/huan4
变回 bian4/hui2
变量 bian4/liang4
变卖 bian4/mai4
变暖 bian4/nuan3
变频 bian4/pin2
变迁 bian4/qian1
变色 bian4/se4
变速 bian4/su4
变态 bian4/tai4
变天 bian4/tian1
变通 bian4/tong1
变为 bian4/wei4
变相 bian4/xiang1
变心 bian4/xin1
变形 bian4/xing2
变性 bian4/xing4
变样 bian4/yang4
变异 bian4/yi4
变质 bian4/zhi4
变种 bian4/zhong3
遍布 bian4/bu4
遍地 bian4/de
遍及 bian4/ji2
遍数 bian4/shu4
遍野 bian4/ye3
辨别 bian4/bie2
辨清 bian4/qing1
辨认 bian4/ren4
辨识 bian4/shi4
辨析 bian4/xi1
辩驳 bian4/bo2
辩护 bian4/hu4
辩解 bian4/jie3
辩论 bian4/lun4
辩明 bian4/ming2
辩证 bian4/zheng4
辫子 bian4/zi
标榜 biao1/bang3
标本 biao1/ben3
标兵 biao1/bing1
标尺 biao1/chi3
标出 biao1/chu1
标的 biao1/de
标点 biao1/dian3
标杆 biao1/gan1
标号 biao1/hao4
标记 biao1/ji4
标价 biao1/jia4
标量 biao1/liang4
标名 biao1/ming2
标明 biao1/ming2
标签 biao1/qian1
标枪 biao1/qiang1
标识 biao1/shi4
标示 biao1/shi4
标题 biao1/ti2
标语 biao1/yu3
标志 biao1/zhi4
标致 biao1/zhi4
标准 biao1/zhun3
表白 biao3/bai2
表笔 biao3/bi3
表册 biao3/ce4
表层 biao3/ceng2
表达 biao3/da2
表弟 biao3/di4
表哥 biao3/ge1
表格 biao3/ge2
表决 biao3/jue2
表里 biao3/li3
表露 biao3/lu4
表率 biao3/lv4
表妹 biao3/mei4
表面 biao3/mian4
表明 biao3/ming2
表皮 biao3/pi2
表情 biao3/qing2
表示 biao3/shi4
表述 biao3/shu4
表态 biao3/tai4
表现 biao3/xian4
表象 biao3/xiang4
表演 biao3/yan3
表扬 biao3/yang2
表语 biao3/yu3
表彰 biao3/zhang1
憋脚 bie1/jiao3
憋闷 bie1/men4
憋气 bie1/qi4
别称 bie2/cheng1
别处 bie2/chu4
别的 bie2/de
别动 bie2/dong4
别管 bie2/guan3
别国 bie2/guo2
别号 bie2/hao4
别后 bie2/hou4
别看 bie2/kan4
别离 bie2/li2
别名 bie2/ming2
别扭 bie2/niu3
别人 bie2/ren2
别墅 bie2/shu4
别说 bie2/shuo1
别提 bie2/ti2
别样 bie2/yang4
别致 bie2/zhi4
别字 bie2/zi4
蹩脚 bie2/jiao3
瘪三 bie3/san1
宾馆 bin1/guan3
宾客 bin1/ke4
宾语 bin1/yu3
宾主 bin1/zhu3
彬彬 bin1/bin1
傧相 bin1/xiang1
缤纷 bin1/fen1
濒临 bin1/lin2
濒危 bin1/wei1
濒于 bin1/yu2
摈除 bin4/chu2
摈弃 bin4/qi4
殡殓 bin4/lian4
殡葬 bin4/zang4
鬓发 bin4/fa1
鬓角 bin4/jiao3
冰棒 bing1/bang4
冰雹 bing1/bao2
冰川 bing1/chuan1
冰灯 bing1/deng1
冰冻 bing1/dong4
冰柜 bing1/gui4
冰棍 bing1/gun4
冰河 bing1/he2
冰冷 bing1/leng3
冰凉 bing1/liang2
冰球 bing1/qiu2
冰山 bing1/shan1
冰霜 bing1/shuang1
冰糖 bing1/tang2
冰箱 bing1/xiang1
冰鞋 bing1/xie2
冰雪 bing1/xue3
兵备 bing1/bei4
兵变 bing1/bian4
兵舰 bing1/jian4
兵力 bing1/li4
兵马 bing1/ma3
兵器 bing1/qi4
兵权 bing1/quan2
兵士 bing1/shi4
兵团 bing1/tuan2
兵役 bing1/yi4
兵营 bing1/ying2
兵员 bing1/yuan2
兵站 bing1/zhan4
兵种 bing1/zhong3
丙醇 bing3/chun2
丙纶 bing3/lun2
丙酮 bing3/tong2
丙烷 bing3/wan2
秉承 bing3/cheng2
秉公 bing3/gong1
秉性 bing3/xing4
秉直 bing3/zhi2
饼干 bing3/gan4
禀报 bing3/bao4
禀赋 bing3/fu4
禀性 bing3/xing4
并按 bing4/an4
并报 bing4/bao4
并不 bing4/bu4
并存 bing4/cun2
并发 bing4/fa1
并非 bing4/fei1
并肩 bing4/jian1
并将 bing4/jiang1
并进 bing4/jin4
并举 bing4/ju3
并口 bing4/kou3
并力 bing4/li4
并立 bing4/li4
并联 bing4/lian2
并列 bing4/lie4
并能 bing4/neng2
并排 bing4/pai2
并且 bing4/qie3
并请 bing4/qing3
并入 bing4/ru4
并提 bing4/ti2
并吞 bing4/tun1
并未 bing4/wei4
并无 bing4/wu2
并行 bing4/xing2
并要 bing4/yao4
并用 bing4/yong4
并有 bing4/you3
并在 bing4/zai4
并重 bing4/zhong4
并转 bing4/zhuan3
病案 bing4/an4
病变 bing4/bian4
病残 bing4/can2
病床 bing4/chuang2
病毒 bing4/du2
病房 bing4/fang2
病根 bing4/gen1
病故 bing4/gu4
病害 bing4/hai4
病号 bing4/hao4
病假 bing4/jia3
病菌 bing4/jun1
病理 bing4/li3
病历 bing4/li4
病例 bing4/li4
病魔 bing4/mo2
病情 bing4/qing2
病人 bing4/ren2
病逝 bing4/shi4
病死 bing4/si3
病榻 bing4/ta4
病态 bing4/tai4
病体 bing4/ti3
病痛 bing4/tong4
病危 bing4/wei1
病因 bing4/yin1
病愈 bing4/yu4
病员 bing4/yuan2
病原 bing4/yuan2
病院 bing4/yuan4
病灶 bing4/zao4
病症 bing4/zheng4
病重 bing4/zhong4
病状 bing4/zhuang4
摒弃 bing3/qi4
拨出 bo1/chu1
拨动 bo1/dong4
拨给 bo1/gei3
拨号 bo1/hao4
拨款 bo1/kuan3
拨了 bo1/le
拨弄 bo1/nong4
拨冗 bo1/rong3
拨通 bo1/tong1
波长 bo1/zhang3
波动 bo1/dong4
波段 bo1/duan4
波恩 bo1/en1
波及 bo1/ji2
波兰 bo1/lan2
波澜 bo1/lan2
波浪 bo1/lang4
波斯 bo1/si1
波涛 bo1/tao1
波纹 bo1/wen2
波形 bo1/xing2
波音 bo1/yin1
波折 bo1/zhe2
玻璃 bo1/li2
剥夺 bo1/duo2
剥离 bo1/li2
剥落 bo1/luo4
剥皮 bo1/pi2
剥削 bo1/xue1
脖子 bo2/zi
菠菜 bo1/cai4
菠萝 bo1/luo2
播出 bo1/chu1
播发 bo1/fa1
播放 bo1/fang4
播讲 bo1/jiang3
播送 bo1/song4
播音 bo1/yin1
播映 bo1/ying4
播种 bo1/zhong3
伯伯 bo2/bo2
伯父 bo2/fu4
伯乐 bo2/le4
伯母 bo2/mu3
驳斥 bo2/chi4
驳船 bo2/chuan2
驳倒 bo2/dao4
驳回 bo2/hui2
泊位 po1/wei4
勃勃 bo2/bo2
勃然 bo2/ran2
